number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,state
33,20.774524787415693,2023-11-13 18:40:23.170110,2023-11-13 18:40:25.702079,0 days 00:00:02.531969,13.830775349255484,0.22382088952437285,2252,COMPLETE
34,19.964819320508713,2023-11-13 18:40:25.702524,2023-11-13 18:40:28.560316,0 days 00:00:02.857792,6.746041622401739,0.2722335587542889,3155,COMPLETE
35,19.903667399844544,2023-11-13 18:40:28.560880,2023-11-13 18:40:31.741879,0 days 00:00:03.180999,0.24293660398896688,0.3213201359641038,2343,COMPLETE
36,22.655242066663536,2023-11-13 18:40:31.742347,2023-11-13 18:40:34.240633,0 days 00:00:02.498286,21.82510541788577,0.37926297033004197,1429,COMPLETE
37,20.727048950644484,2023-11-13 18:40:34.241155,2023-11-13 18:40:36.716987,0 days 00:00:02.475832,14.265432963787179,0.1843633287505977,1966,COMPLETE
38,20.20714357895629,2023-11-13 18:40:36.717503,2023-11-13 18:40:39.365877,0 days 00:00:02.648374,7.846446426939422,0.41041596893771004,2758,COMPLETE
39,21.16896719373623,2023-11-13 18:40:39.366413,2023-11-13 18:40:41.790795,0 days 00:00:02.424382,15.989325544461717,0.2689020368218144,2179,COMPLETE
40,19.76395040440944,2023-11-13 18:40:41.791279,2023-11-13 18:40:44.332023,0 days 00:00:02.540744,5.5244234663668985,0.2064079890685665,1779,COMPLETE
41,18.884134049296247,2023-11-13 18:40:44.332518,2023-11-13 18:40:47.031405,0 days 00:00:02.698887,0.922763615035848,0.1519069020437353,2461,COMPLETE
42,20.093408094340855,2023-11-13 18:40:47.031882,2023-11-13 18:40:49.375168,0 days 00:00:02.343286,8.373064269418386,0.15088544321253314,2554,COMPLETE
43,19.440763306468686,2023-11-13 18:40:49.375550,2023-11-13 18:40:51.901219,0 days 00:00:02.525669,3.702450190785041,0.07848401107655374,2919,COMPLETE
44,20.565122466597877,2023-11-13 18:40:51.901667,2023-11-13 18:40:54.140868,0 days 00:00:02.239201,11.840362787992838,0.2327759045262979,3231,COMPLETE
45,22.07885856396515,2023-11-13 18:40:54.141307,2023-11-13 18:40:57.133094,0 days 00:00:02.991787,0.0757896409268719,0.29931302088635936,2202,COMPLETE
46,20.509540892044654,2023-11-13 18:40:57.133571,2023-11-13 18:40:59.269792,0 days 00:00:02.136221,14.903049703799754,0.059797532340648815,2490,COMPLETE
47,19.607092668118977,2023-11-13 18:40:59.270227,2023-11-13 18:41:01.694498,0 days 00:00:02.424271,4.824605841122873,0.12656006681965776,2861,COMPLETE
48,20.33934817309764,2023-11-13 18:41:01.694936,2023-11-13 18:41:03.896382,0 days 00:00:02.201446,9.727913144681231,0.25260485949157263,1459,COMPLETE
49,21.51723623044876,2023-11-13 18:41:03.896810,2023-11-13 18:41:05.936838,0 days 00:00:02.040028,21.928533090331086,0.19233914021190654,2036,COMPLETE
